Timestamp;age;Generation;Gender;Purchase_Frequency;Purchase_Categories;Personalized_Recommendation_Frequency;Browsing_Frequency;Product_Search_Method;Search_Result_Exploration;Customer_Reviews_Importance;Add_to_Cart_Browsing;Cart_Completion_Frequency;Cart_Abandonment_Factors;Saveforlater_Frequency;Review_Left;Review_Reliability;Review_Helpfulness;Personalized_Recommendation_Frequency ;Recommendation_Helpfulness;Rating_Accuracy ;Shopping_Satisfaction;Service_Appreciation;Improvement_Areas
2023/06/06 6:42:07 PM GMT+5:30;42;X;Male;Less than once a month;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/06 6:43:02 PM GMT+5:30;37;Y;Female;Few times a month;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/06 6:43:32 PM GMT+5:30;28;Y;Female;Multiple times a week;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/06 6:44:04 PM GMT+5:30;27;Y;Male;Once a week;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/06 6:44:50 PM GMT+5:30;45;X;Female;Once a week;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/06 6:45:07 PM GMT+5:30;35;Y;Male;Less than once a month;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/06 6:45:33 PM GMT+5:30;50;X;Female;Multiple times a week;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/06 6:46:14 PM GMT+5:30;54;X;Female;Few times a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/06 6:46:21 PM GMT+5:30;29;Y;Female;Multiple times a week;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/06 6:48:26 PM GMT+5:30;63;Baby Boomers;Male;Less than once a month;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/06 6:51:13 PM GMT+5:30;24;Z;Male;Few times a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/06 6:57:14 PM GMT+5:30;23;Z;Female;Less than once a month;Beauty and Personal Care;No;Rarely;Keyword;Multiple pages;1;Yes;Rarely;High shipping costs;Often;Yes;Heavily;Yes;1;Yes;1;1;Wide product selection;Shipping speed and reliability
2023/06/06 7:02:21 PM GMT+5:30;26;Y;Female;Few times a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/06 7:08:47 PM GMT+5:30;29;Y;Male;Multiple times a week;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/06 7:10:14 PM GMT+5:30;46;X;Prefer not to say;Few times a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/06 7:10:55 PM GMT+5:30;24;Z;Male;Less than once a month;others;No;Few times a month;Keyword;Multiple pages;4;Yes;Sometimes;Found a better price elsewhere;Sometimes;No;Occasionally;Yes;3;Yes;4;5;Wide product selection;Nil
2023/06/06 7:11:13 PM GMT+5:30;33;Y;Female;Few times a month;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/06 7:11:46 PM GMT+5:30;33;Y;Female;Once a week;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/06 7:12:54 PM GMT+5:30;31;Y;Prefer not to say;Once a month;Clothing and Fashion;No;Few times a month;categories;First page;3;No;Sometimes;Changed my mind or no longer need the item;Sometimes;No;Heavily;No;3;No;5;4;Wide product selection;Shipping speed and reliability
2023/06/06 7:15:48 PM GMT+5:30;40;Y;Prefer not to say;Few times a month;Clothing and Fashion;;;;;;;;;;;;;;;;;;
2023/06/06 7:16:28 PM GMT+5:30;37;Y;Male;Once a week;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/06 7:17:17 PM GMT+5:30;25;Y;Prefer not to say;Few times a month;Beauty and Personal Care;No;Rarely;categories;First page;3;No;Rarely;Changed my mind or no longer need the item;Often;No;Heavily;No;2;No;3;2;User-friendly website/app interface;Product quality and accuracy
2023/06/06 7:18:01 PM GMT+5:30;60;Baby Boomers;Female;Once a week;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/06 7:18:52 PM GMT+5:30;18;Z;Female;Once a week;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/06 7:19:43 PM GMT+5:30;50;X;Male;Less than once a month;Clothing and Fashion;;;;;;;;;;;;;;;;;;
2023/06/06 7:20:35 PM GMT+5:30;24;Z;Prefer not to say;Few times a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/06 7:21:26 PM GMT+5:30;19;Z;Female;Few times a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/06 7:22:31 PM GMT+5:30;18;Z;Female;Once a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/06 7:23:25 PM GMT+5:30;17;Z;Male;Few times a month;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/06 7:31:34 PM GMT+5:30;27;Y;Female;Once a month;Beauty and Personal Care;No;Few times a week;Keyword;Multiple pages;1;Yes;Often;Changed my mind or no longer need the item;Sometimes;Yes;Heavily;Yes;3;Sometimes;3;2;Wide product selection;Shipping speed and reliability
2023/06/06 7:39:44 PM GMT+5:30;23;Z;Male;Less than once a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/06 7:40:11 PM GMT+5:30;35;Y;Female;Few times a month;Beauty and Personal Care;No;Few times a month;categories;First page;3;Maybe;Rarely;Found a better price elsewhere;Often;Yes;Occasionally;No;2;No;4;2;Product recommendations;Reducing packaging waste
2023/06/06 7:40:53 PM GMT+5:30;57;Baby Boomers;Female;Few times a month;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/06 7:41:36 PM GMT+5:30;54;X;Male;Few times a month;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/06 7:42:13 PM GMT+5:30;26;Y;Prefer not to say;Once a month;Beauty and Personal Care;No;Few times a month;categories;Multiple pages;2;No;Sometimes;High shipping costs;Often;No;Heavily;No;2;No;2;2;Wide product selection;Shipping speed and reliability
2023/06/06 7:42:51 PM GMT+5:30;46;X;Male;Once a week;Beauty and Personal Care;Sometimes;Rarely;Keyword;Multiple pages;2;Yes;Often;Found a better price elsewhere;Often;Yes;Heavily;No;2;No;2;2;Competitive prices;Customer service responsiveness
2023/06/06 7:46:27 PM GMT+5:30;26;Y;Female;Multiple times a week;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/06 7:54:19 PM GMT+5:30;24;Z;Male;Once a month;others;No;Few times a month;Filter;Multiple pages;1;Yes;Often;Changed my mind or no longer need the item;Often;Yes;Heavily;Yes;1;Yes;3;2;User-friendly website/app interface;Shipping speed and reliability
2023/06/06 8:01:47 PM GMT+5:30;26;Y;Female;Once a month;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/06 8:08:19 PM GMT+5:30;27;Y;Male;Once a month;Clothing and Fashion;No;Few times a month;categories;Multiple pages;5;Maybe;Often;High shipping costs;Never;Yes;Heavily;Yes;3;Yes;1;2;Wide product selection;Shipping speed and reliability
2023/06/06 8:55:08 PM GMT+5:30;22;Z;Female;Few times a month;Beauty and Personal Care;Yes;Multiple times a day;Filter;Multiple pages;3;Maybe;Often;Found a better price elsewhere;Always;Yes;Moderately;Sometimes;1;Sometimes;3;3;Competitive prices;Customer service responsiveness
2023/06/06 8:56:17 PM GMT+5:30;24;Z;Male;Few times a month;Beauty and Personal Care;Yes;Few times a week;categories;Multiple pages;3;Yes;Sometimes;Found a better price elsewhere;Sometimes;No;Occasionally;Yes;3;Yes;3;3;Product recommendations;Customer service responsiveness
2023/06/06 8:57:23 PM GMT+5:30;25;Y;Male;Multiple times a week;Beauty and Personal Care;No;Few times a week;Filter;Multiple pages;3;Maybe;Often;Found a better price elsewhere;Often;No;Occasionally;Sometimes;2;No;3;3;Competitive prices;Reducing packaging waste
2023/06/06 9:08:20 PM GMT+5:30;22;Z;Prefer not to say;Once a month;Beauty and Personal Care;Yes;Few times a week;others;First page;2;Maybe;Often;Found a better price elsewhere;Sometimes;Yes;Heavily;No;3;Sometimes;3;3;Product recommendations;Customer service responsiveness
2023/06/06 9:08:39 PM GMT+5:30;27;Y;Male;Once a month;others;No;Few times a month;Keyword;Multiple pages;1;Yes;Often;High shipping costs;Never;Yes;Heavily;Yes;3;Yes;1;1;User-friendly website/app interface;Shipping speed and reliability
2023/06/06 11:06:30 PM GMT+5:30;23;Z;Female;Less than once a month;Clothing and Fashion;;;;;;;;;;;;;;;;;;
2023/06/06 11:28:31 PM GMT+5:30;24;Z;Male;Less than once a month;Clothing and Fashion;No;Few times a month;categories;First page;1;Maybe;Sometimes;High shipping costs;Never;No;Heavily;Yes;3;Yes;3;3;User-friendly website/app interface;Product quality and accuracy
2023/06/07 12:58:28 AM GMT+5:30;24;Z;Female;Less than once a month;Beauty and Personal Care;No;Rarely;categories;First page;4;Yes;Sometimes;Changed my mind or no longer need the item;Never;No;Moderately;Yes;3;No;3;3;Competitive prices;Product quality and accuracy
2023/06/07 3:08:03 AM GMT+5:30;23;Z;Female;Few times a month;Clothing and Fashion;No;Few times a month;Filter;Multiple pages;1;Yes;Sometimes;Found a better price elsewhere;Sometimes;No;Heavily;Sometimes;4;Yes;3;4;User-friendly website/app interface;Product quality and accuracy
2023/06/07 6:09:58 AM GMT+5:30;23;Z;Male;Once a month;Clothing and Fashion;;;;;;;;;;;;;;;;;;
2023/06/07 9:19:23 AM GMT+5:30;25;Y;Female;Once a week;Groceries and Gourmet Food;Yes;Multiple times a day;Filter;Multiple pages;3;Yes;Sometimes;Changed my mind or no longer need the item;Often;No;Moderately;Yes;3;Yes;3;3;Product recommendations;Reducing packaging waste
2023/06/07 9:20:34 AM GMT+5:30;21;Z;Male;Once a week;Groceries and Gourmet Food;No;Few times a week;categories;First page;5;Maybe;Sometimes;High shipping costs;Rarely;Yes;Occasionally;No;3;No;3;3;User-friendly website/app interface;Customer service responsiveness
2023/06/07 9:24:31 AM GMT+5:30;36;Y;Female;Few times a month;Groceries and Gourmet Food;No;Few times a month;Keyword;Multiple pages;2;No;Often;Found a better price elsewhere;Sometimes;Yes;Occasionally;No;3;Sometimes;3;4;Wide product selection;Customer service responsiveness
2023/06/07 9:25:35 AM GMT+5:30;23;Z;Female;Multiple times a week;Beauty and Personal Care;Yes;Few times a week;Filter;Multiple pages;3;No;Often;Found a better price elsewhere;Sometimes;Yes;Occasionally;Yes;3;Sometimes;3;3;Competitive prices;Customer service responsiveness
2023/06/07 9:27:03 AM GMT+5:30;23;Z;Female;Few times a month;Clothing and Fashion;Sometimes;Few times a month;Filter;Multiple pages;3;No;Rarely;Found a better price elsewhere;Sometimes;Yes;Occasionally;Yes;3;No;3;3;Product recommendations;Customer service responsiveness
2023/06/07 9:28:09 AM GMT+5:30;23;Z;Prefer not to say;Once a week;Clothing and Fashion;Yes;Few times a month;categories;Multiple pages;3;Maybe;Sometimes;Changed my mind or no longer need the item;Sometimes;Yes;Occasionally;Yes;3;No;3;3;Product recommendations;Customer service responsiveness
2023/06/07 9:32:38 AM GMT+5:30;21;Z;Female;Once a week;Beauty and Personal Care;Yes;Few times a week;Filter;Multiple pages;3;Maybe;Sometimes;Found a better price elsewhere;Sometimes;No;Moderately;Yes;3;No;3;3;Competitive prices;Customer service responsiveness
2023/06/07 10:56:11 AM GMT+5:30;23;Z;Prefer not to say;Once a week;Clothing and Fashion;Yes;Few times a month;Keyword;Multiple pages;3;Maybe;Often;High shipping costs;Always;Yes;Heavily;Yes;3;Sometimes;3;3;Competitive prices;Product quality and accuracy
2023/06/07 10:57:14 AM GMT+5:30;26;Y;Others;Few times a month;Beauty and Personal Care;Yes;Few times a week;Filter;Multiple pages;3;Yes;Sometimes;High shipping costs;Sometimes;Yes;Occasionally;No;3;No;2;3;User-friendly website/app interface;Product quality and accuracy
2023/06/07 10:58:27 AM GMT+5:30;30;Y;Female;Few times a month;Beauty and Personal Care;Yes;Few times a week;Filter;Multiple pages;3;Maybe;Sometimes;Found a better price elsewhere;Never;Yes;Moderately;Sometimes;3;Sometimes;3;3;Product recommendations;Customer service responsiveness
2023/06/07 11:41:56 AM GMT+5:30;37;Y;Female;Once a month;Clothing and Fashion;Sometimes;Few times a month;categories;Multiple pages;1;Yes;Sometimes;Changed my mind or no longer need the item;Often;No;Heavily;Yes;4;Sometimes;2;3;Wide product selection;Product quality and accuracy
2023/06/07 11:44:55 AM GMT+5:30;26;Y;Female;Once a month;Beauty and Personal Care;Yes;Few times a week;categories;Multiple pages;3;Yes;Sometimes;Changed my mind or no longer need the item;Often;No;Occasionally;Yes;2;Yes;3;3;Competitive prices;Shipping speed and reliability
2023/06/07 11:46:52 AM GMT+5:30;46;X;Female;Once a month;others;Sometimes;Rarely;others;First page;5;Yes;Always;High shipping costs;Always;Yes;Rarely;Sometimes;1;Yes;1;1;User-friendly website/app interface;Shipping speed and reliability
2023/06/07 11:47:07 AM GMT+5:30;36;Y;Female;Less than once a month;others;No;Rarely;others;Multiple pages;4;No;Never;others;Never;No;Never;Sometimes;4;Yes;4;4;User-friendly website/app interface;Product quality and accuracy
2023/06/07 11:47:44 AM GMT+5:30;40;Y;Female;Less than once a month;Home and Kitchen;Sometimes;Rarely;categories;Multiple pages;3;Yes;Sometimes;Changed my mind or no longer need the item;Rarely;No;Moderately;Yes;3;Yes;2;2;Wide product selection;Customer service responsiveness
2023/06/07 11:47:44 AM GMT+5:30;41;X;Male;Less than once a month;Clothing and Fashion;Sometimes;Few times a month;Keyword;Multiple pages;1;Yes;Always;Found a better price elsewhere;Rarely;Yes;Rarely;Yes;5;Yes;2;3;Wide product selection;Shipping speed and reliability
2023/06/07 11:48:25 AM GMT+5:30;34;Y;Male;Less than once a month;others;No;Rarely;Keyword;Multiple pages;2;Maybe;Sometimes;Changed my mind or no longer need the item;Never;Yes;Moderately;Sometimes;4;No;3;2;Wide product selection;Scrolling option would be much better than going to next page
2023/06/07 11:54:03 AM GMT+5:30;29;Y;Female;Once a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/07 12:01:15 PM GMT+5:30;35;Y;Male;Once a month;Clothing and Fashion;Sometimes;Few times a week;categories;Multiple pages;3;Yes;Sometimes;Changed my mind or no longer need the item;Rarely;No;Rarely;Yes;2;Yes;3;3;Product recommendations;Product quality and accuracy
2023/06/07 12:13:39 PM GMT+5:30;32;Y;Male;Less than once a month;Clothing and Fashion;No;Rarely;Keyword;Multiple pages;5;Maybe;Sometimes;Found a better price elsewhere;Rarely;Yes;Moderately;Yes;3;Yes;1;3;Product recommendations;Reducing packaging waste
2023/06/07 12:23:07 PM GMT+5:30;41;X;Male;Few times a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/07 12:27:12 PM GMT+5:30;35;Y;Female;Few times a month;Home and Kitchen;;;;;;;;;;;;;;;;;;
2023/06/07 12:29:31 PM GMT+5:30;36;Y;Female;Few times a month;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/07 12:30:22 PM GMT+5:30;46;X;Female;Once a week;others;No;Few times a week;Keyword;Multiple pages;5;Yes;Often;Found a better price elsewhere;Often;No;Moderately;Yes;5;Sometimes;3;4;Wide product selection;Customer service responsiveness
2023/06/07 12:36:04 PM GMT+5:30;39;Y;Female;Few times a month;Home and Kitchen;Sometimes;Few times a week;Filter;First page;2;Yes;Sometimes;Changed my mind or no longer need the item;Sometimes;No;Rarely;No;1;Sometimes;2;3;Wide product selection;Customer service responsiveness
2023/06/07 12:39:08 PM GMT+5:30;48;X;Male;Few times a month;Beauty and Personal Care;Yes;Few times a week;Filter;Multiple pages;1;Yes;Often;Changed my mind or no longer need the item;Often;Yes;Occasionally;Yes;2;Yes;2;1;Wide product selection;Customer service responsiveness
2023/06/07 12:44:27 PM GMT+5:30;25;Y;Male;Few times a month;others;No;Few times a week;Keyword;Multiple pages;5;No;Sometimes;Found a better price elsewhere;Sometimes;No;Occasionally;Yes;3;Yes;3;4;Wide product selection;Customer service responsiveness
2023/06/07 12:50:13 PM GMT+5:30;38;Y;Male;Once a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/07 1:00:08 PM GMT+5:30;26;Y;Male;Once a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/07 1:00:09 PM GMT+5:30;40;Y;Female;Less than once a month;Beauty and Personal Care;No;Few times a week;categories;Multiple pages;4;Yes;Sometimes;High shipping costs;Often;Yes;Rarely;Sometimes;3;No;4;3;User-friendly website/app interface;Product quality and accuracy
2023/06/07 1:04:07 PM GMT+5:30;49;X;Female;Few times a month;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/07 1:05:41 PM GMT+5:30;30;Y;Male;Less than once a month;Clothing and Fashion;Yes;Few times a week;categories;Multiple pages;5;Yes;Sometimes;Changed my mind or no longer need the item;Sometimes;Yes;Occasionally;Yes;3;Yes;4;1;Wide product selection;Product quality and accuracy
2023/06/07 1:25:26 PM GMT+5:30;24;Z;Female;Less than once a month;Clothing and Fashion;No;Rarely;categories;Multiple pages;1;Maybe;Rarely;High shipping costs;Sometimes;No;Moderately;Yes;2;Sometimes;3;2;Competitive prices;Customer service responsiveness
2023/06/07 1:33:51 PM GMT+5:30;23;Z;Female;Once a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/07 1:40:37 PM GMT+5:30;27;Y;Male;Once a month;Clothing and Fashion;Sometimes;Few times a month;Keyword;Multiple pages;4;Yes;Sometimes;Found a better price elsewhere;Sometimes;No;Occasionally;Yes;3;Yes;3;4;User-friendly website/app interface;Product quality and accuracy
2023/06/07 1:49:06 PM GMT+5:30;28;Y;Male;Less than once a month;others;No;Rarely;Keyword;Multiple pages;2;Maybe;Sometimes;Changed my mind or no longer need the item;Rarely;No;Moderately;Yes;5;Yes;2;2;Competitive prices;Product quality and accuracy
2023/06/07 2:09:49 PM GMT+5:30;23;Z;Male;Less than once a month;others;No;Few times a week;Keyword;First page;3;Yes;Rarely;Changed my mind or no longer need the item;Often;Yes;Moderately;Sometimes;2;Sometimes;3;2;User-friendly website/app interface;Product quality and accuracy
2023/06/07 2:11:50 PM GMT+5:30;46;X;Female;Few times a month;Home and Kitchen;Yes;Few times a week;categories;Multiple pages;1;Yes;Always;Found a better price elsewhere;Often;No;Occasionally;Yes;1;Yes;2;2;Product recommendations;Product quality and accuracy
2023/06/07 2:16:43 PM GMT+5:30;27;Y;Male;Less than once a month;others;Sometimes;Rarely;Keyword;First page;2;Maybe;Rarely;others;Often;No;Heavily;Sometimes;3;Sometimes;3;3;Product recommendations;Customer service responsiveness
2023/06/07 2:19:05 PM GMT+5:30;20;Z;Female;Once a month;Home and Kitchen;No;Rarely;categories;Multiple pages;1;Yes;Sometimes;Changed my mind or no longer need the item;Often;Yes;Moderately;Yes;3;Sometimes;2;3;Competitive prices;Product quality and accuracy
2023/06/07 2:22:14 PM GMT+5:30;23;Z;Female;Less than once a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/07 2:23:02 PM GMT+5:30;29;Y;Female;Once a week;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/07 2:33:56 PM GMT+5:30;29;Y;Female;Less than once a month;Clothing and Fashion;Yes;Few times a month;others;First page;1;Maybe;Sometimes;High shipping costs;Sometimes;Yes;Moderately;Yes;1;Yes;1;3;Wide product selection;Product quality and accuracy
2023/06/07 2:40:30 PM GMT+5:30;57;Baby Boomers;Female;Few times a month;Home and Kitchen;No;Few times a week;categories;Multiple pages;1;Yes;Often;Found a better price elsewhere;Sometimes;Yes;Heavily;Yes;4;Yes;3;3;User-friendly website/app interface;Customer service responsiveness
2023/06/07 3:13:52 PM GMT+5:30;25;Y;Female;Less than once a month;Beauty and Personal Care;No;Few times a week;Keyword;Multiple pages;1;Yes;Sometimes;Found a better price elsewhere;Sometimes;No;Moderately;Yes;4;Yes;3;1;User-friendly website/app interface;Customer service responsiveness
2023/06/07 3:56:01 PM GMT+5:30;23;Z;Female;Few times a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/07 3:58:52 PM GMT+5:30;15;Z;Male;Once a month;Clothing and Fashion;;;;;;;;;;;;;;;;;;
2023/06/07 4:10:33 PM GMT+5:30;39;Y;Male;Less than once a month;Clothing and Fashion;;;;;;;;;;;;;;;;;;
2023/06/07 4:46:12 PM GMT+5:30;23;Z;Female;Once a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/07 5:26:20 PM GMT+5:30;25;Y;Female;Less than once a month;Beauty and Personal Care;No;Few times a week;Keyword;Multiple pages;5;Yes;Sometimes;High shipping costs;Rarely;Yes;Heavily;Yes;3;Yes;3;3;Competitive prices;Shipping speed and reliability
2023/06/07 5:58:12 PM GMT+5:30;37;Y;Female;Multiple times a week;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/07 6:15:10 PM GMT+5:30;23;Z;Female;Few times a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/07 6:16:51 PM GMT+5:30;23;Z;Female;Few times a month;Clothing and Fashion;;;;;;;;;;;;;;;;;;
2023/06/07 6:17:42 PM GMT+5:30;23;Z;Female;Once a month;Clothing and Fashion;;;;;;;;;;;;;;;;;;
2023/06/07 6:18:37 PM GMT+5:30;23;Z;Female;Once a week;Beauty and Personal Care;No;Few times a month;categories;Multiple pages;2;No;Often;Found a better price elsewhere;Sometimes;No;Occasionally;Sometimes;3;No;3;2;Product recommendations;Customer service responsiveness
2023/06/07 6:20:00 PM GMT+5:30;21;Z;Female;Once a month;Clothing and Fashion;;;;;;;;;;;;;;;;;;
2023/06/07 6:20:53 PM GMT+5:30;21;Z;Female;Once a week;Clothing and Fashion;No;Few times a week;Filter;Multiple pages;3;No;Sometimes;Found a better price elsewhere;Sometimes;No;Moderately;No;4;Yes;2;1;Product recommendations;Customer service responsiveness
2023/06/07 6:28:35 PM GMT+5:30;34;Y;Female;Once a week;Beauty and Personal Care;No;Few times a week;Filter;Multiple pages;2;No;Sometimes;Found a better price elsewhere;Often;Yes;Occasionally;No;2;No;3;2;Competitive prices;Customer service responsiveness
2023/06/07 6:29:14 PM GMT+5:30;23;Z;Female;Few times a month;Clothing and Fashion;;;;;;;;;;;;;;;;;;
2023/06/07 6:29:53 PM GMT+5:30;23;Z;Female;Once a week;Beauty and Personal Care;No;Few times a month;Filter;Multiple pages;3;No;Sometimes;Found a better price elsewhere;Sometimes;No;Occasionally;Sometimes;3;No;3;2;Product recommendations;Reducing packaging waste
2023/06/07 6:30:43 PM GMT+5:30;23;Z;Prefer not to say;Few times a month;Clothing and Fashion;No;Few times a month;categories;Multiple pages;3;No;Sometimes;Changed my mind or no longer need the item;Sometimes;Yes;Occasionally;No;3;No;3;1;Competitive prices;Customer service responsiveness
2023/06/07 6:31:23 PM GMT+5:30;27;Y;Female;Once a week;Beauty and Personal Care;No;Few times a month;categories;Multiple pages;2;No;Sometimes;Changed my mind or no longer need the item;Sometimes;No;Rarely;Sometimes;3;No;2;1;Wide product selection;Customer service responsiveness
2023/06/07 7:17:13 PM GMT+5:30;23;Z;Female;Less than once a month;others;No;Rarely;categories;Multiple pages;3;Maybe;Sometimes;Changed my mind or no longer need the item;Never;Yes;Occasionally;Sometimes;3;Sometimes;3;2;Wide product selection;Product quality and accuracy
2023/06/07 8:20:23 PM GMT+5:30;47;X;Female;Less than once a month;Clothing and Fashion;No;Rarely;categories;Multiple pages;1;Maybe;Rarely;Changed my mind or no longer need the item;Always;No;Heavily;Yes;5;Sometimes;3;2;Product recommendations;Product quality and accuracy
2023/06/07 8:41:53 PM GMT+5:30;54;X;Male;Less than once a month;others;No;Rarely;Keyword;Multiple pages;1;Yes;Often;Found a better price elsewhere;Never;Yes;Heavily;Yes;1;Yes;3;3;Wide product selection;Product quality and accuracy
2023/06/07 9:16:59 PM GMT+5:30;46;X;Prefer not to say;Once a week;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/07 9:17:50 PM GMT+5:30;38;Y;Female;Once a month;others;No;Few times a week;categories;Multiple pages;2;No;Sometimes;Found a better price elsewhere;Rarely;No;Moderately;Yes;3;No;1;3;Competitive prices;Customer service responsiveness
2023/06/07 9:18:29 PM GMT+5:30;45;X;Female;Few times a month;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/07 9:18:55 PM GMT+5:30;34;Y;Male;Once a week;Clothing and Fashion;Yes;Few times a week;others;Multiple pages;4;No;Rarely;Changed my mind or no longer need the item;Often;Yes;Occasionally;No;4;No;3;2;Product recommendations;Reducing packaging waste
2023/06/07 9:19:32 PM GMT+5:30;44;X;Female;Once a week;Clothing and Fashion;Sometimes;Few times a month;categories;Multiple pages;2;Maybe;Sometimes;Found a better price elsewhere;Sometimes;Yes;Occasionally;No;5;Sometimes;4;3;Competitive prices;Customer service responsiveness
2023/06/07 9:21:10 PM GMT+5:30;23;Z;Female;Few times a month;Clothing and Fashion;;;;;;;;;;;;;;;;;;
2023/06/07 9:21:50 PM GMT+5:30;32;Y;Female;Once a week;Beauty and Personal Care;Yes;Few times a week;Filter;First page;3;No;Often;Changed my mind or no longer need the item;Sometimes;No;Moderately;No;4;No;4;5;Product recommendations;Customer service responsiveness
2023/06/07 9:22:24 PM GMT+5:30;23;Z;Female;Once a week;Beauty and Personal Care;Yes;Multiple times a day;Keyword;Multiple pages;3;Yes;Always;Changed my mind or no longer need the item;Always;Yes;Occasionally;Yes;2;No;4;3;Product recommendations;Product quality and accuracy
2023/06/07 9:23:39 PM GMT+5:30;23;Z;Female;Few times a month;Clothing and Fashion;No;Few times a week;Filter;First page;2;Maybe;Always;Found a better price elsewhere;Often;Yes;Rarely;No;2;No;3;2;Product recommendations;Customer service responsiveness
2023/06/07 9:23:41 PM GMT+5:30;23;Z;Male;Once a week;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/07 9:35:08 PM GMT+5:30;19;Z;Female;Few times a month;Clothing and Fashion;No;Few times a week;categories;Multiple pages;2;Yes;Often;Found a better price elsewhere;Always;Yes;Moderately;Yes;4;Yes;2;2;User-friendly website/app interface;Customer service responsiveness
2023/06/07 9:35:23 PM GMT+5:30;23;Z;Female;Less than once a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/07 9:53:52 PM GMT+5:30;23;Z;Female;Few times a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/07 9:54:24 PM GMT+5:30;34;Y;Male;Once a week;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/07 9:54:56 PM GMT+5:30;34;Y;Female;Once a week;Clothing and Fashion;No;Few times a week;Keyword;Multiple pages;3;No;Sometimes;Found a better price elsewhere;Sometimes;No;Rarely;Sometimes;3;No;2;4;Product recommendations;Reducing packaging waste
2023/06/07 10:07:42 PM GMT+5:30;34;Y;Female;Once a month;Home and Kitchen;;;;;;;;;;;;;;;;;;
2023/06/07 10:09:17 PM GMT+5:30;23;Z;Prefer not to say;Few times a month;Beauty and Personal Care;No;Few times a week;categories;Multiple pages;3;No;Often;Found a better price elsewhere;Often;No;Occasionally;No;2;Yes;2;3;Wide product selection;Customer service responsiveness
2023/06/07 10:09:54 PM GMT+5:30;45;X;Female;Once a week;Clothing and Fashion;Sometimes;Rarely;Keyword;Multiple pages;2;Maybe;Always;High shipping costs;Rarely;Yes;Moderately;No;3;Sometimes;2;3;Competitive prices;Customer service responsiveness
2023/06/07 10:10:26 PM GMT+5:30;23;Z;Female;Once a week;Groceries and Gourmet Food;Yes;Few times a week;Filter;First page;3;No;Always;Changed my mind or no longer need the item;Rarely;Yes;Rarely;Sometimes;2;No;2;1;Competitive prices;Shipping speed and reliability
